subject,subject_code,topic,difficulty,phase,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Quantitative Aptitude,quant,Percentage,easy,main,If 25% of a number is 120 what is 60% of that number?,288,256,300,240,A,25% = 1/4 so 100% = 120 × 4 = 480. Therefore 60% of 480 = 480 × 0.6 = 288.
Quantitative Aptitude,quant,Speed & Distance,medium,main,A train travels 360 km in 4 hours. What is its speed in m/s?,20 m/s,25 m/s,30 m/s,15 m/s,B,Speed = 360 / 4 = 90 km/h. Convert: 90 × (1000/3600) = 25 m/s.
Quantitative Aptitude,quant,Compound Interest,hard,main,Compound interest on Rs. 8000 at 10% per annum for 2 years is:,Rs. 1600,Rs. 1680,Rs. 1800,Rs. 1720,B,CI = P[(1+r/100)^n - 1] = 8000[(1.1)^2 - 1] = 8000 × 0.21 = Rs. 1680.
Quantitative Aptitude,quant,HCF & LCM,easy,main,What is the LCM of 12 18 and 24?,36,48,72,96,C,12=2²×3. 18=2×3². 24=2³×3. LCM = 2³×3² = 72.
Quantitative Aptitude,quant,Profit & Loss,medium,main,A shopkeeper sells a product for Rs. 480 at a 20% profit. What is the cost price?,Rs. 380,Rs. 400,Rs. 420,Rs. 360,B,SP = CP × 1.2 → CP = 480/1.2 = Rs. 400.
Quantitative Aptitude,quant,Simple Interest,easy,main,Simple interest on Rs. 5000 at 8% per annum for 3 years is:,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,SI = (P × R × T)/100 = (5000 × 8 × 3)/100 = Rs. 1200.
Quantitative Aptitude,quant,Ratio & Proportion,medium,main,If A:B = 3:4 and B:C = 2:3 then A:C = ?,1:2,3:8,1:3,3:4,A,A:B = 3:4. B:C = 2:3 = 4:6. So A:B:C = 3:4:6. A:C = 3:6 = 1:2.
Quantitative Aptitude,quant,Algebra,hard,main,If x + 1/x = 5 then x² + 1/x² = ?,23,25,27,21,A,(x + 1/x)² = x² + 2 + 1/x² → 25 = x² + 2 + 1/x² → x² + 1/x² = 23.
Reasoning,reasoning,Number Series,easy,main,Complete the series: 2 6 12 20 30 __,40,42,44,46,B,Pattern: n(n+1) → 1×2=2 2×3=6 3×4=12 4×5=20 5×6=30 6×7=42.
Reasoning,reasoning,Coding-Decoding,medium,main,If BOOK = 2-15-15-11 what is the code for DOOR?,4-15-15-18,4-14-15-18,3-15-15-18,4-15-14-18,A,Each letter = its position in alphabet. D=4 O=15 O=15 R=18.
Reasoning,reasoning,Seating Arrangement,hard,main,A is 7th from left B is 12th from right. After swap A is 11th from left. Total students in row?,22,23,24,25,A,After swap A takes B's position (11 from left = 12 from right). Total = 11+12-1 = 22.
Reasoning,reasoning,Classification,easy,main,Which is the odd one out? Apple Mango Carrot Banana,Apple,Mango,Carrot,Banana,C,Apple Mango and Banana are fruits. Carrot is a vegetable — the odd one out.
Reasoning,reasoning,Blood Relations,medium,main,A woman says His mother is the only daughter of my mother. How is she related to him?,Grandmother,Mother,Sister,Aunt,B,Only daughter of my mother = the woman herself. So his mother = the woman. She is his Mother.
Reasoning,reasoning,Direction Sense,easy,main,Starting from point A a man walks 3 km North then 4 km East. What is his distance from start?,5 km,6 km,7 km,8 km,A,By Pythagoras: √(3² + 4²) = √(9+16) = √25 = 5 km.
Reasoning,reasoning,Analogy,medium,main,Book : Library :: Painting : ?,Museum,School,Gallery,Studio,C,A book is stored in a Library. A painting is displayed in a Gallery.
English,english,Synonyms,easy,main,Choose the correct synonym of ELOQUENT:,Silent,Articulate,Clumsy,Rude,B,ELOQUENT means fluent and expressive in speech. ARTICULATE is its closest synonym.
English,english,Spelling,medium,main,Choose the correctly spelt word:,Accomodation,Accommodation,Accomadation,Acomodation,B,Correct spelling: ACCOMMODATION — double c and double m.
English,english,Subject-Verb Agreement,hard,main,Fill in the blank: The committee __ unable to reach a consensus.,are,were,was,have been,C,Committee is a collective noun taking a singular verb. Was is correct.
English,english,Antonyms,easy,main,Identify the antonym of BENEVOLENT:,Generous,Kind,Malevolent,Charitable,C,BENEVOLENT = kind and generous. Its antonym is MALEVOLENT = wishing harm.
English,english,Error Spotting,medium,main,Find the error: Neither of the students have submitted their assignment.,Neither of,have submitted,their assignment,No error,B,Neither is singular → correct: Neither of the students HAS submitted...
English,english,Idioms,easy,main,What does the idiom Once in a blue moon mean?,Very frequently,Very rarely,Always,Never,B,Once in a blue moon means something that happens very rarely or almost never.
English,english,Active-Passive,medium,main,Change to passive: She writes a letter.,A letter is written by her.,A letter was written by her.,A letter has been written.,A letter will be written.,A,Simple present active → simple present passive: A letter is written by her.
General Awareness,ga,History,easy,main,Who is known as the Iron Man of India?,Jawaharlal Nehru,Sardar Vallabhbhai Patel,Subhas Chandra Bose,Bhagat Singh,B,Sardar Vallabhbhai Patel unified 562 princely states into the Indian Union earning this title.
General Awareness,ga,Indian Polity,medium,main,Which Article of the Indian Constitution abolishes untouchability?,Article 14,Article 15,Article 17,Article 21,C,Article 17 abolishes untouchability and forbids its practice in any form.
General Awareness,ga,Indian Polity,hard,main,The Indian Constitution was adopted by the Constituent Assembly on:,15 Aug 1947,26 Jan 1950,26 Nov 1949,2 Oct 1948,C,The Constitution was adopted on 26 November 1949 — celebrated as Constitution Day.
General Awareness,ga,Geography,easy,main,What is the capital of Uttarakhand?,Dehradun,Haridwar,Nainital,Mussoorie,A,Dehradun is the capital of Uttarakhand. Gairsain is the summer capital.
General Awareness,ga,Science,medium,main,Which planet is known as the Red Planet?,Jupiter,Saturn,Venus,Mars,D,Mars appears red due to iron oxide (rust) on its surface.
General Awareness,ga,Economics,medium,main,Which body presents the Union Budget in India?,RBI,Planning Commission,Finance Ministry,NITI Aayog,C,The Union Budget is presented by the Finance Ministry (Finance Minister) in Parliament.
General Awareness,ga,Sports,easy,main,How many players are there in a cricket team?,9,10,11,12,C,A standard cricket team consists of 11 players.
General Awareness,ga,Awards,medium,main,Bharat Ratna is awarded in the field of:,Sports only,Arts and science only,Exceptional service to the nation,Military service only,C,Bharat Ratna is India's highest civilian honour awarded for exceptional service/performance of highest order to the nation.
